model,R2,RMSE,MAE,n_total
XGBoost,0.7224229423556832,0.08960970288684572,0.054945467407163794,1280
RF,0.6720416305137169,0.09740306266557291,0.06334819165644487,1280
SVR,0.729181309092614,0.08851208489788248,0.062226732187815846,1280
GPR,0.7267093542690586,0.0889151236601724,0.06580766183918534,1280
